name/text	uDDAmareshvara			svachChanda			netra			troTala			kaulajnAnanirNaya			hAhArava		
	count	rank	relative freq	count	rank	relative freq	count	rank	relative freq	count	rank	relative freq	count	rank	relative freq	count	rank	relative freq
IshAna	5	4	0.24	32	6	0.15	24	7	0.1	9	5	0.24	1	11	0.01	23	8	0.13
rudra	21	1	1	185	2	0.89	38	4	0.16	15	3	0.39	8	4	0.09	49	5	0.28
mahesh(a)vara)	5	3	0.24	19	7	0.09	35	5	0.15	0	12	0	1	10	0.01	27	6	0.15
bhairava	3	8	0.14	134	3	0.64	57	2	0.24	3	7	0.08	53	2	0.62	178	1	1
shiva	5	5	0.24	209	1	1	239	1	1	38	1	1	22	3	0.26	110	3	0.62
sadAshiva	0	13	0	43	4	0.21	43	3	0.18	19	2	0.5	1	12	0.01	24	7	0.13
nandin	0	12	0	5	11	0.02	6	9	0.03	2	8	0.05	3	6	0.04	5	12	0.03
mahAkAla	2	11	0.1	8	8	0.04	2	13	0.01	0	11	0	5	5	0.06	17	10	0.1
skanda	6	2	0.29	6	9	0.03	4	10	0.02	2	9	0.05	2	8	0.02	4	13	0.02
vinAyaka	3	9	0.14	6	10	0.03	4	11	0.02	0	13	0	3	7	0.04	11	11	0.06
yoginI	2	10	0.1	3	12	0.01	30	6	0.13	11	4	0.29	85	1	1	72	4	0.4
DAkinI	5	6	0.24	0	13	0	2	12	0.01	0	10	0	2	9	0.02	18	9	0.1
shUla	5	7	0.24	33	5	0.16	12	8	0.05	5	6	0.13	0	13	0	140	2	0.79